graph,layout,parameters,prompt_type,reasoning_type,response,parsed_response,ground_truth,accuracy,latency,input_tokens,output_tokens,total_tokens
graph_1004,FMMM,{},zero_shot,standard,"Adjacency list: 1: [2, 3, 4]; 2: [1, 3, 13, 19, 20]; 3: [1, 2, 4, 16, 19]; 4: [1, 3, 16, 18]; 5: [8, 9, 10]; 6: [7, 8, 13]; 7: [6, 9, 12]; 8: [5, 6, 9]; 9: [5, 7, 8, 12]; 10: [5, 17]; 11: [12, 16, 17]; 12: [7, 9, 11, 15]; 13: [2, 6, 14, 20]; 14: [13, 15, 20]; 15: [12, 14, 16]; 16: [3, 4, 11, 15, 19]; 17: [10, 11, 18]; 18: [4, 17]; 19: [2, 3, 16]; 20: [2, 13, 14];","{'adjacency_list': '1: 2,3,4; 2: 1,3,13,19,20; 3: 1,2,4,16,19; 4: 1,3,16,18; 5: 8,9,10; 6: 7,8,13; 7: 6,9,12; 8: 5,6,9; 9: 5,7,8,12; 10: 5,17; 11: 12,16,17; 12: 7,9,11,15; 13: 2,6,14,20; 14: 13,15,20; 15: 12,14,16; 16: 3,4,11,15,19; 17: 10,11,18; 18: 4,17; 19: 2,3,16; 20: 2,13,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.359,17.268129110336304,996,269,1265
graph_1004,FMMM,{},zero_shot,cot,"To create the adjacency list, let's follow the steps:

1. **Identify and enumerate all nodes**: The nodes are labeled from 1 to 20.

2. **Examine connections for each node**:

   - **Node 1**: Connected to 2, 3, 4.
   - **Node 2**: Connected to 1, 3, 20.
   - **Node 3**: Connected to 1, 2, 4, 16, 19.
   - **Node 4**: Connected to 1, 3, 18.
   - **Node 5**: Connected to 8, 9, 10.
   - **Node 6**: Connected to 7, 8, 13.
   - **Node 7**: Connected to 6, 12, 14.
   - **Node 8**: Connected to 5, 6, 9.
   - **Node 9**: Connected to 5, 8, 12.
   - **Node 10**: Connected to 5, 17.
   - **Node 11**: Connected to 12, 16, 17.
   - **Node 12**: Connected to 7, 9, 11, 15.
   - **Node 13**: Connected to 6, 14, 20.
   - **Node 14**: Connected to 7, 13, 15.
   - **Node 15**: Connected to 12, 14, 19.
   - **Node 16**: Connected to 3, 11, 19.
   - **Node 17**: Connected to 10, 11, 18.
   - **Node 18**: Connected to 4, 17.
   - **Node 19**: Connected to 3, 15, 16.
   - **Node 20**: Connected to 2, 13.

3. **Organize connections in ascending order**:

4. **Verify consistency**: Ensure every connection is bidirectional.

Final adjacency list:

Adjacency list: 
1: [2, 3, 4]; 
2: [1, 3, 20]; 
3: [1, 2, 4, 16, 19]; 
4: [1, 3, 18]; 
5: [8, 9, 10]; 
6: [7, 8, 13]; 
7: [6, 12, 14]; 
8: [5, 6, 9]; 
9: [5, 8, 12]; 
10: [5, 17]; 
11: [12, 16, 17]; 
12: [7, 9, 11, 15]; 
13: [6, 14, 20]; 
14: [7, 13, 15]; 
15: [12, 14, 19]; 
16: [3, 11, 19]; 
17: [10, 11, 18]; 
18: [4, 17]; 
19: [3, 15, 16]; 
20: [2, 13].","{'adjacency_list': '1: 2,3,4; 2: 1,3,20; 3: 1,2,4,16,19; 4: 1,3,18; 5: 8,9,10; 6: 7,8,13; 7: 6,12,14; 8: 5,6,9; 9: 5,8,12; 10: 5,17; 11: 12,16,17; 12: 7,9,11,15; 13: 6,14,20; 14: 7,13,15; 15: 12,14,19; 16: 3,11,19; 17: 10,11,18; 18: 4,17; 19: 3,15,16; 20: 2,13'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.301,24.548998832702637,1049,697,1746
graph_1004,FMMM,{},few_shots,standard,"Adjacency list: 1: 2,3,4; 2: 1,3,19,20; 3: 1,2,4,16; 4: 1,3,17; 5: 8,9,10; 6: 7,13,14; 7: 6,8,12; 8: 5,7,9; 9: 5,8,10,12; 10: 5,9,17; 11: 12,16,17; 12: 7,9,11,15; 13: 6,14,20; 14: 6,13,15; 15: 12,14,19; 16: 3,11,19; 17: 4,10,11,18; 18: 17; 19: 2,15,16; 20: 2,13","{'adjacency_list': '1: 2,3,4; 2: 1,3,19,20; 3: 1,2,4,16; 4: 1,3,17; 5: 8,9,10; 6: 7,13,14; 7: 6,8,12; 8: 5,7,9; 9: 5,8,10,12; 10: 5,9,17; 11: 12,16,17; 12: 7,9,11,15; 13: 6,14,20; 14: 6,13,15; 15: 12,14,19; 16: 3,11,19; 17: 4,10,11,18; 18: 17; 19: 2,15,16; 20: 2,13'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.306,7.5346999168396,2984,208,3192
graph_1004,FMMM,{},few_shots,cot,"To create the adjacency list, I'll follow the steps outlined:

1. **Identify and enumerate all nodes**: The nodes are labeled from 1 to 20.

2. **Examine connections for each node**:

   - **Node 1**: Connected to 2, 3, 4.
   - **Node 2**: Connected to 1, 3, 20.
   - **Node 3**: Connected to 1, 2, 4, 16.
   - **Node 4**: Connected to 1, 3, 18.
   - **Node 5**: Connected to 8, 9, 10.
   - **Node 6**: Connected to 7, 13.
   - **Node 7**: Connected to 6, 8, 12.
   - **Node 8**: Connected to 5, 7, 9.
   - **Node 9**: Connected to 5, 8, 10, 12.
   - **Node 10**: Connected to 5, 9, 17.
   - **Node 11**: Connected to 12, 16, 17.
   - **Node 12**: Connected to 7, 9, 11, 15.
   - **Node 13**: Connected to 6, 14, 20.
   - **Node 14**: Connected to 13, 15, 19.
   - **Node 15**: Connected to 12, 14, 19.
   - **Node 16**: Connected to 3, 11, 19.
   - **Node 17**: Connected to 10, 11, 18.
   - **Node 18**: Connected to 4, 17.
   - **Node 19**: Connected to 14, 15, 16.
   - **Node 20**: Connected to 2, 13.

3. **Organize connections in ascending order**.

4. **Verify consistency**: Ensure each connection is bidirectional.

Final adjacency list:

Adjacency list: 1: 2,3,4; 2: 1,3,20; 3: 1,2,4,16; 4: 1,3,18; 5: 8,9,10; 6: 7,13; 7: 6,8,12; 8: 5,7,9; 9: 5,8,10,12; 10: 5,9,17; 11: 12,16,17; 12: 7,9,11,15; 13: 6,14,20; 14: 13,15,19; 15: 12,14,19; 16: 3,11,19; 17: 10,11,18; 18: 4,17; 19: 14,15,16; 20: 2,13.","{'adjacency_list': '1: 2,3,4; 2: 1,3,20; 3: 1,2,4,16; 4: 1,3,18; 5: 8,9,10; 6: 7,13; 7: 6,8,12; 8: 5,7,9; 9: 5,8,10,12; 10: 5,9,17; 11: 12,16,17; 12: 7,9,11,15; 13: 6,14,20; 14: 13,15,19; 15: 12,14,19; 16: 3,11,19; 17: 10,11,18; 18: 4,17; 19: 14,15,16; 20: 2,13'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.292,16.285151958465576,3216,658,3874
graph_1004,IMPROVED,{},zero_shot,standard,"Adjacency list: 1: [3, 4]; 2: [19, 20]; 3: [1, 4, 16, 19]; 4: [1, 3, 11, 18]; 5: [8, 9, 10]; 6: [7, 8, 12, 13]; 7: [6, 9, 12]; 8: [5, 6]; 9: [5, 7, 10, 12, 16]; 10: [5, 9, 17]; 11: [4, 16]; 12: [6, 7, 9, 15]; 13: [6, 14, 15, 20]; 14: [13, 15, 20]; 15: [12, 13, 14, 16]; 16: [3, 9, 11, 15]; 17: [10, 18]; 18: [4, 17]; 19: [2, 3]; 20: [2, 13, 14];","{'adjacency_list': '1: 3,4; 2: 19,20; 3: 1,4,16,19; 4: 1,3,11,18; 5: 8,9,10; 6: 7,8,12,13; 7: 6,9,12; 8: 5,6; 9: 5,7,10,12,16; 10: 5,9,17; 11: 4,16; 12: 6,7,9,15; 13: 6,14,15,20; 14: 13,15,20; 15: 12,13,14,16; 16: 3,9,11,15; 17: 10,18; 18: 4,17; 19: 2,3; 20: 2,13,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.383,5.604115962982178,996,251,1247
graph_1004,IMPROVED,{},zero_shot,cot,"To create the adjacency list, let's follow the steps:

1. **Identify and enumerate all nodes**: The nodes are labeled from 1 to 20.

2. **Examine connections for each node**:

   - **Node 1**: Connected to 3, 4, 19
   - **Node 2**: Connected to 19, 20
   - **Node 3**: Connected to 1, 4, 16, 19
   - **Node 4**: Connected to 1, 3, 11, 18
   - **Node 5**: Connected to 8, 9, 10
   - **Node 6**: Connected to 7, 8, 12, 13
   - **Node 7**: Connected to 6, 9, 12
   - **Node 8**: Connected to 5, 6, 9
   - **Node 9**: Connected to 5, 7, 8, 12, 17
   - **Node 10**: Connected to 5, 17
   - **Node 11**: Connected to 4, 16
   - **Node 12**: Connected to 6, 7, 9, 15
   - **Node 13**: Connected to 6, 14, 15, 20
   - **Node 14**: Connected to 13, 15, 20
   - **Node 15**: Connected to 12, 13, 14, 16
   - **Node 16**: Connected to 3, 11, 15, 17
   - **Node 17**: Connected to 9, 10, 16, 18
   - **Node 18**: Connected to 4, 17
   - **Node 19**: Connected to 1, 2, 3
   - **Node 20**: Connected to 2, 13, 14

3. **Organize connections in ascending order**:

4. **Verify consistency**: Ensure each connection is bidirectional.

Final adjacency list:

Adjacency list: 
1: [3, 4, 19]; 
2: [19, 20]; 
3: [1, 4, 16, 19]; 
4: [1, 3, 11, 18]; 
5: [8, 9, 10]; 
6: [7, 8, 12, 13]; 
7: [6, 9, 12]; 
8: [5, 6, 9]; 
9: [5, 7, 8, 12, 17]; 
10: [5, 17]; 
11: [4, 16]; 
12: [6, 7, 9, 15]; 
13: [6, 14, 15, 20]; 
14: [13, 15, 20]; 
15: [12, 13, 14, 16]; 
16: [3, 11, 15, 17]; 
17: [9, 10, 16, 18]; 
18: [4, 17]; 
19: [1, 2, 3]; 
20: [2, 13, 14].","{'adjacency_list': '1: 3,4,19; 2: 19,20; 3: 1,4,16,19; 4: 1,3,11,18; 5: 8,9,10; 6: 7,8,12,13; 7: 6,9,12; 8: 5,6,9; 9: 5,7,8,12,17; 10: 5,17; 11: 4,16; 12: 6,7,9,15; 13: 6,14,15,20; 14: 13,15,20; 15: 12,13,14,16; 16: 3,11,15,17; 17: 9,10,16,18; 18: 4,17; 19: 1,2,3; 20: 2,13,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.35,18.551575899124146,1049,733,1782
graph_1004,IMPROVED,{},few_shots,standard,"Adjacency list: 1: 3,4; 2: 19,20; 3: 1,11,19; 4: 1,11,18; 5: 9,10; 6: 7,8,13; 7: 6,9,12; 8: 6,9; 9: 5,7,8,12,17; 10: 5,17; 11: 3,4,16; 12: 7,9,15; 13: 6,14,20; 14: 13,15,20; 15: 12,14,16; 16: 11,15; 17: 9,10,18; 18: 4,17; 19: 2,3; 20: 2,13,14;","{'adjacency_list': '1: 3,4; 2: 19,20; 3: 1,11,19; 4: 1,11,18; 5: 9,10; 6: 7,8,13; 7: 6,9,12; 8: 6,9; 9: 5,7,8,12,17; 10: 5,17; 11: 3,4,16; 12: 7,9,15; 13: 6,14,20; 14: 13,15,20; 15: 12,14,16; 16: 11,15; 17: 9,10,18; 18: 4,17; 19: 2,3; 20: 2,13,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.303,5.8303608894348145,2984,193,3177
graph_1004,IMPROVED,{},few_shots,cot,"To create the adjacency list, I'll follow the steps outlined:

1. **Identify and enumerate all nodes**: The nodes are numbered from 1 to 20.

2. **Examine connections for each node**:

   - **Node 1**: Connected to 3, 4, 18
   - **Node 2**: Connected to 19, 20
   - **Node 3**: Connected to 1, 11, 16, 19
   - **Node 4**: Connected to 1, 18
   - **Node 5**: Connected to 9, 10
   - **Node 6**: Connected to 7, 8, 13
   - **Node 7**: Connected to 6, 8, 12
   - **Node 8**: Connected to 6, 7, 9
   - **Node 9**: Connected to 5, 8, 11, 12
   - **Node 10**: Connected to 5, 17
   - **Node 11**: Connected to 3, 9, 16
   - **Node 12**: Connected to 7, 9, 15
   - **Node 13**: Connected to 6, 14, 15
   - **Node 14**: Connected to 13, 15, 20
   - **Node 15**: Connected to 12, 13, 14
   - **Node 16**: Connected to 3, 11, 17
   - **Node 17**: Connected to 10, 16, 18
   - **Node 18**: Connected to 1, 4, 17
   - **Node 19**: Connected to 2, 3
   - **Node 20**: Connected to 2, 14

3. **Organize connections in ascending order**.

4. **Verify consistency**: Ensure each connection is reciprocal.

Final adjacency list:

Adjacency list: 
1: 3,4,18; 
2: 19,20; 
3: 1,11,16,19; 
4: 1,18; 
5: 9,10; 
6: 7,8,13; 
7: 6,8,12; 
8: 6,7,9; 
9: 5,8,11,12; 
10: 5,17; 
11: 3,9,16; 
12: 7,9,15; 
13: 6,14,15; 
14: 13,15,20; 
15: 12,13,14; 
16: 3,11,17; 
17: 10,16,18; 
18: 1,4,17; 
19: 2,3; 
20: 2,14","{'adjacency_list': '1: 3,4,18; 2: 19,20; 3: 1,11,16,19; 4: 1,18; 5: 9,10; 6: 7,8,13; 7: 6,8,12; 8: 6,7,9; 9: 5,8,11,12; 10: 5,17; 11: 3,9,16; 12: 7,9,15; 13: 6,14,15; 14: 13,15,20; 15: 12,13,14; 16: 3,11,17; 17: 10,16,18; 18: 1,4,17; 19: 2,3; 20: 2,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.316,22.14417576789856,3216,636,3852
graph_1036,FMMM,{},zero_shot,standard,"Adjacency list: 1: [2, 8, 9, 15]; 2: [1, 7, 13, 20]; 3: [6, 8, 12, 17]; 4: [9, 11, 18]; 5: [9, 10, 12, 18]; 6: [3, 14, 15]; 7: [2, 9, 16, 19]; 8: [1, 3, 9, 12]; 9: [1, 4, 5, 7, 8, 19]; 10: [5, 17, 18]; 11: [4, 16, 19]; 12: [3, 5, 8]; 13: [2, 16, 20]; 14: [6, 15, 20]; 15: [1, 6, 14]; 16: [7, 11, 13]; 17: [3, 10]; 18: [4, 5, 10]; 19: [7, 9, 11]; 20: [2, 13, 14];","{'adjacency_list': '1: 2,8,9,15; 2: 1,7,13,20; 3: 6,8,12,17; 4: 9,11,18; 5: 9,10,12,18; 6: 3,14,15; 7: 2,9,16,19; 8: 1,3,9,12; 9: 1,4,5,7,8,19; 10: 5,17,18; 11: 4,16,19; 12: 3,5,8; 13: 2,16,20; 14: 6,15,20; 15: 1,6,14; 16: 7,11,13; 17: 3,10; 18: 4,5,10; 19: 7,9,11; 20: 2,13,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,16,20; 14: 6,15,20; 15: 3,9,14; 16: 4,9,13; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.356,24.64111304283142,996,269,1265
graph_1036,FMMM,{},zero_shot,cot,"To create the adjacency list, let's follow the steps:

1. **Identify and enumerate all nodes**: The nodes are labeled from 1 to 20.

2. **Examine connections for each node**:

   - **Node 1**: Connected to 2, 8, 9, 15
   - **Node 2**: Connected to 1, 7, 13, 20
   - **Node 3**: Connected to 6, 8, 12, 17
   - **Node 4**: Connected to 5, 9, 11, 18
   - **Node 5**: Connected to 4, 9, 10, 12
   - **Node 6**: Connected to 3, 14, 15
   - **Node 7**: Connected to 2, 9, 16, 19
   - **Node 8**: Connected to 1, 3, 9, 12
   - **Node 9**: Connected to 1, 4, 5, 7, 8, 19
   - **Node 10**: Connected to 5, 17, 18
   - **Node 11**: Connected to 4, 16, 19
   - **Node 12**: Connected to 3, 5, 8
   - **Node 13**: Connected to 2, 16, 20
   - **Node 14**: Connected to 6, 15, 20
   - **Node 15**: Connected to 1, 6, 14
   - **Node 16**: Connected to 7, 11, 13
   - **Node 17**: Connected to 3, 10
   - **Node 18**: Connected to 4, 10
   - **Node 19**: Connected to 7, 9, 11
   - **Node 20**: Connected to 2, 13, 14

3. **Organize connections in ascending order**.

4. **Verify consistency**: Ensure each connection is bidirectional.

Final adjacency list:

Adjacency list: 1: [2, 8, 9, 15]; 2: [1, 7, 13, 20]; 3: [6, 8, 12, 17]; 4: [5, 9, 11, 18]; 5: [4, 9, 10, 12]; 6: [3, 14, 15]; 7: [2, 9, 16, 19]; 8: [1, 3, 9, 12]; 9: [1, 4, 5, 7, 8, 19]; 10: [5, 17, 18]; 11: [4, 16, 19]; 12: [3, 5, 8]; 13: [2, 16, 20]; 14: [6, 15, 20]; 15: [1, 6, 14]; 16: [7, 11, 13]; 17: [3, 10]; 18: [4, 10]; 19: [7, 9, 11]; 20: [2, 13, 14];","{'adjacency_list': '1: 2,8,9,15; 2: 1,7,13,20; 3: 6,8,12,17; 4: 5,9,11,18; 5: 4,9,10,12; 6: 3,14,15; 7: 2,9,16,19; 8: 1,3,9,12; 9: 1,4,5,7,8,19; 10: 5,17,18; 11: 4,16,19; 12: 3,5,8; 13: 2,16,20; 14: 6,15,20; 15: 1,6,14; 16: 7,11,13; 17: 3,10; 18: 4,10; 19: 7,9,11; 20: 2,13,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,16,20; 14: 6,15,20; 15: 3,9,14; 16: 4,9,13; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.363,25.70206117630005,1049,745,1794
