graph,layout,parameters,prompt_type,reasoning_type,response,parsed_response,ground_truth,accuracy,latency,input_tokens,output_tokens,total_tokens
graph_1004,FMMM,{},zero_shot,standard,"Adjacency list: 1: [2, 3, 4]; 2: [1, 19, 20]; 3: [1, 4, 17]; 4: [1, 3, 15, 16]; 5: [8, 10]; 6: [7, 8, 11, 13]; 7: [6, 8, 13]; 8: [5, 6, 7]; 9: [10, 11, 12]; 10: [5, 9, 17, 18]; 11: [6, 9, 12, 16]; 12: [9, 11, 15, 18]; 13: [6, 7, 14, 16]; 14: [13, 20]; 15: [4, 12, 16, 19]; 16: [4, 11, 13, 15, 19]; 17: [3, 10, 18]; 18: [10, 12, 17]; 19: [2, 15, 16]; 20: [2, 14]","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,4,17; 4: 1,3,15,16; 5: 8,10; 6: 7,8,11,13; 7: 6,8,13; 8: 5,6,7; 9: 10,11,12; 10: 5,9,17,18; 11: 6,9,12,16; 12: 9,11,15,18; 13: 6,7,14,16; 14: 13,20; 15: 4,12,16,19; 16: 4,11,13,15,19; 17: 3,10,18; 18: 10,12,17; 19: 2,15,16; 20: 2,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.405,5.390420913696289,1469,266,1735
graph_1004,FMMM,{},zero_shot,cot,"I'll analyze this graph step by step to create the complete adjacency list.

Step 1: Identifying all nodes in the graph
I can see 20 nodes labeled from 1 to 20, each represented as a yellow circle with a black border.

Step 2: Examining connections for each node systematically

Node 1: Connected to nodes 2, 3, 4
Node 2: Connected to nodes 1, 19, 20
Node 3: Connected to nodes 1, 4, 17
Node 4: Connected to nodes 1, 3, 15, 16
Node 5: Connected to nodes 8, 9, 10
Node 6: Connected to nodes 7, 8, 11, 13
Node 7: Connected to nodes 6, 8, 13
Node 8: Connected to nodes 5, 6, 7
Node 9: Connected to nodes 5, 11, 12
Node 10: Connected to nodes 5, 17, 18
Node 11: Connected to nodes 6, 9, 12, 16
Node 12: Connected to nodes 9, 11, 15, 18
Node 13: Connected to nodes 6, 7, 14, 16
Node 14: Connected to nodes 13, 20
Node 15: Connected to nodes 4, 12, 16, 19
Node 16: Connected to nodes 4, 11, 13, 15
Node 17: Connected to nodes 3, 10, 18
Node 18: Connected to nodes 10, 12, 17
Node 19: Connected to nodes 2, 15
Node 20: Connected to nodes 2, 14

Step 3: Organizing connections in ascending order for each node

Step 4: Verifying consistency
- All 20 nodes are included
- All visible connections are represented
- The adjacency list is symmetric (if A connects to B, then B connects to A)

Adjacency list: 1: [2, 3, 4]; 2: [1, 19, 20]; 3: [1, 4, 17]; 4: [1, 3, 15, 16]; 5: [8, 9, 10]; 6: [7, 8, 11, 13]; 7: [6, 8, 13]; 8: [5, 6, 7]; 9: [5, 11, 12]; 10: [5, 17, 18]; 11: [6, 9, 12, 16]; 12: [9, 11, 15, 18]; 13: [6, 7, 14, 16]; 14: [13, 20]; 15: [4, 12, 16, 19]; 16: [4, 11, 13, 15]; 17: [3, 10, 18]; 18: [10, 12, 17]; 19: [2, 15]; 20: [2, 14]","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,4,17; 4: 1,3,15,16; 5: 8,9,10; 6: 7,8,11,13; 7: 6,8,13; 8: 5,6,7; 9: 5,11,12; 10: 5,17,18; 11: 6,9,12,16; 12: 9,11,15,18; 13: 6,7,14,16; 14: 13,20; 15: 4,12,16,19; 16: 4,11,13,15; 17: 3,10,18; 18: 10,12,17; 19: 2,15; 20: 2,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.448,10.34864592552185,1527,722,2249
graph_1004,FMMM,{},few_shots,standard,"Adjacency list: 1: [2,3,4]; 2: [1,19,20]; 3: [1,4,17]; 4: [1,3,15,16]; 5: [8,10]; 6: [7,11,13]; 7: [6,8,13]; 8: [5,7]; 9: [11,12]; 10: [5,17,18]; 11: [6,9,12,16]; 12: [9,11,15,18]; 13: [6,7,14,16,20]; 14: [13,20]; 15: [4,12,16,19]; 16: [4,11,13,15,19]; 17: [3,10,18]; 18: [10,12,17]; 19: [2,15,16]; 20: [2,13,14]","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,4,17; 4: 1,3,15,16; 5: 8,10; 6: 7,11,13; 7: 6,8,13; 8: 5,7; 9: 11,12; 10: 5,17,18; 11: 6,9,12,16; 12: 9,11,15,18; 13: 6,7,14,16,20; 14: 13,20; 15: 4,12,16,19; 16: 4,11,13,15,19; 17: 3,10,18; 18: 10,12,17; 19: 2,15,16; 20: 2,13,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.418,5.228279113769531,4624,216,4840
graph_1004,FMMM,{},few_shots,cot,"I'll analyze this graph step by step to create the adjacency list.

Step 1: Identify all nodes in the graph.
The graph contains 20 nodes labeled from 1 to 20.

Step 2: For each node, identify all its connections by examining the visible lines.

Node 1: Connected to nodes 2, 3, 4
Node 2: Connected to nodes 1, 19, 20
Node 3: Connected to nodes 1, 4, 17
Node 4: Connected to nodes 1, 3, 15, 16
Node 5: Connected to nodes 8, 10
Node 6: Connected to nodes 7, 11, 13
Node 7: Connected to nodes 6, 8, 13
Node 8: Connected to nodes 5, 7
Node 9: Connected to nodes 11, 12
Node 10: Connected to nodes 5, 17, 18
Node 11: Connected to nodes 6, 9, 12, 16
Node 12: Connected to nodes 9, 11, 15, 18
Node 13: Connected to nodes 6, 7, 14, 16, 20
Node 14: Connected to nodes 13
Node 15: Connected to nodes 4, 12, 16, 19
Node 16: Connected to nodes 4, 11, 13, 15, 19
Node 17: Connected to nodes 3, 10, 18
Node 18: Connected to nodes 10, 12, 17
Node 19: Connected to nodes 2, 15, 16
Node 20: Connected to nodes 2, 13

Step 3: Organize the connections for each node in ascending numerical order.

Step 4: Verify the consistency of the adjacency list (if A connects to B, then B must connect to A).

Adjacency list: 1: [2,3,4]; 2: [1,19,20]; 3: [1,4,17]; 4: [1,3,15,16]; 5: [8,10]; 6: [7,11,13]; 7: [6,8,13]; 8: [5,7]; 9: [11,12]; 10: [5,17,18]; 11: [6,9,12,16]; 12: [9,11,15,18]; 13: [6,7,14,16,20]; 14: [13]; 15: [4,12,16,19]; 16: [4,11,13,15,19]; 17: [3,10,18]; 18: [10,12,17]; 19: [2,15,16]; 20: [2,13]","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,4,17; 4: 1,3,15,16; 5: 8,10; 6: 7,11,13; 7: 6,8,13; 8: 5,7; 9: 11,12; 10: 5,17,18; 11: 6,9,12,16; 12: 9,11,15,18; 13: 6,7,14,16,20; 14: 13; 15: 4,12,16,19; 16: 4,11,13,15,19; 17: 3,10,18; 18: 10,12,17; 19: 2,15,16; 20: 2,13'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.389,10.276286363601685,4875,648,5523
graph_1004,ORTHO,{},zero_shot,standard,"Adjacency list: 1: [4, 18]; 2: [6, 14, 19]; 3: [15, 17]; 4: [1, 16, 18]; 5: [8, 9, 10]; 6: [2, 8, 12]; 7: [8, 11, 13]; 8: [5, 6, 7, 14, 20]; 9: [5, 15, 16]; 10: [5, 17, 18]; 11: [7, 18]; 12: [6, 19]; 13: [7, 15, 20]; 14: [2, 8, 16, 20]; 15: [3, 9, 13]; 16: [4, 9, 14]; 17: [3, 10, 18]; 18: [1, 4, 10, 11, 17]; 19: [2, 12]; 20: [8, 13, 14]","{'adjacency_list': '1: 4,18; 2: 6,14,19; 3: 15,17; 4: 1,16,18; 5: 8,9,10; 6: 2,8,12; 7: 8,11,13; 8: 5,6,7,14,20; 9: 5,15,16; 10: 5,17,18; 11: 7,18; 12: 6,19; 13: 7,15,20; 14: 2,8,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,18; 18: 1,4,10,11,17; 19: 2,12; 20: 8,13,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.711,5.019775867462158,1321,248,1569
graph_1004,ORTHO,{},zero_shot,cot,"I'll analyze this graph step by step to create the complete adjacency list.

Step 1: Identifying all nodes in the graph
I can see 20 nodes labeled with integers from 1 to 20. Each node is represented as a yellow circle with a black border containing a unique integer label.

Step 2: Examining connections for each node
Let me go through each node and identify its connections:

Node 1: Connected to nodes 4, 18
Node 2: Connected to nodes 6, 14, 19
Node 3: Connected to nodes 15, 17
Node 4: Connected to nodes 1, 16, 18
Node 5: Connected to nodes 8, 9, 10
Node 6: Connected to nodes 2, 8, 12
Node 7: Connected to nodes 8, 11, 13
Node 8: Connected to nodes 5, 6, 7, 20
Node 9: Connected to nodes 5, 15, 16
Node 10: Connected to nodes 5, 17, 18
Node 11: Connected to nodes 7, 18
Node 12: Connected to nodes 6, 17, 19
Node 13: Connected to nodes 7, 15, 20
Node 14: Connected to nodes 2, 16, 20
Node 15: Connected to nodes 3, 9, 13
Node 16: Connected to nodes 4, 9, 14
Node 17: Connected to nodes 3, 10, 12
Node 18: Connected to nodes 1, 4, 10, 11
Node 19: Connected to nodes 2, 12
Node 20: Connected to nodes 8, 13, 14

Step 3: Organizing connections in ascending order
For each node, I'll list its neighbors in ascending numerical order.

Step 4: Verifying consistency
I'll ensure that if node A is connected to node B, then node B is also connected to node A.

Final adjacency list:

Adjacency list: 1: [4, 18]; 2: [6, 14, 19]; 3: [15, 17]; 4: [1, 16, 18]; 5: [8, 9, 10]; 6: [2, 8, 12]; 7: [8, 11, 13]; 8: [5, 6, 7, 20]; 9: [5, 15, 16]; 10: [5, 17, 18]; 11: [7, 18]; 12: [6, 17, 19]; 13: [7, 15, 20]; 14: [2, 16, 20]; 15: [3, 9, 13]; 16: [4, 9, 14]; 17: [3, 10, 12]; 18: [1, 4, 10, 11]; 19: [2, 12]; 20: [8, 13, 14]","{'adjacency_list': '1: 4,18; 2: 6,14,19; 3: 15,17; 4: 1,16,18; 5: 8,9,10; 6: 2,8,12; 7: 8,11,13; 8: 5,6,7,20; 9: 5,15,16; 10: 5,17,18; 11: 7,18; 12: 6,17,19; 13: 7,15,20; 14: 2,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 1,4,10,11; 19: 2,12; 20: 8,13,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.773,10.241405248641968,1379,710,2089
graph_1004,ORTHO,{},few_shots,standard,"Adjacency list: 1: [4, 18]; 2: [6, 14, 19, 20]; 3: [10, 15, 17]; 4: [1, 16, 18]; 5: [8, 9]; 6: [2, 8, 12]; 7: [8, 11, 13]; 8: [5, 6, 7, 13, 20]; 9: [5, 15, 16]; 10: [3, 17, 18]; 11: [7, 18, 19]; 12: [6, 17, 19]; 13: [7, 8, 15, 20]; 14: [2, 16, 20]; 15: [3, 9, 13]; 16: [4, 9, 14]; 17: [3, 10, 12, 19]; 18: [1, 4, 10, 11]; 19: [2, 11, 12, 17]; 20: [2, 8, 13, 14]","{'adjacency_list': '1: 4,18; 2: 6,14,19,20; 3: 10,15,17; 4: 1,16,18; 5: 8,9; 6: 2,8,12; 7: 8,11,13; 8: 5,6,7,13,20; 9: 5,15,16; 10: 3,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,8,15,20; 14: 2,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12,19; 18: 1,4,10,11; 19: 2,11,12,17; 20: 2,8,13,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.733,6.34209418296814,4476,266,4742
graph_1004,ORTHO,{},few_shots,cot,"I'll analyze this graph step by step to create the adjacency list.

Step 1: Identify all nodes in the graph.
The graph contains 20 nodes labeled from 1 to 20.

Step 2: For each node, examine all connections.

Node 1: Connected to nodes 4, 18
Node 2: Connected to nodes 6, 14, 19, 20
Node 3: Connected to nodes 10, 15, 17
Node 4: Connected to nodes 1, 16, 18
Node 5: Connected to nodes 8, 9, 10
Node 6: Connected to nodes 2, 8, 12
Node 7: Connected to nodes 8, 11, 13
Node 8: Connected to nodes 5, 6, 7, 13, 20
Node 9: Connected to nodes 5, 15, 16
Node 10: Connected to nodes 3, 5, 17, 18
Node 11: Connected to nodes 7, 12, 18, 19
Node 12: Connected to nodes 6, 11, 19
Node 13: Connected to nodes 7, 8, 15, 20
Node 14: Connected to nodes 2, 16, 20
Node 15: Connected to nodes 3, 9, 13
Node 16: Connected to nodes 4, 9, 14
Node 17: Connected to nodes 3, 10, 12
Node 18: Connected to nodes 1, 4, 10, 11
Node 19: Connected to nodes 2, 11, 12
Node 20: Connected to nodes 2, 8, 13, 14

Step 3: Organize connections in ascending numerical order.

Step 4: Verify consistency (if A connects to B, then B must connect to A).
I've double-checked all connections to ensure they are reciprocal.

Adjacency list: 1: [4, 18]; 2: [6, 14, 19, 20]; 3: [10, 15, 17]; 4: [1, 16, 18]; 5: [8, 9, 10]; 6: [2, 8, 12]; 7: [8, 11, 13]; 8: [5, 6, 7, 13, 20]; 9: [5, 15, 16]; 10: [3, 5, 17, 18]; 11: [7, 12, 18, 19]; 12: [6, 11, 17, 19]; 13: [7, 8, 15, 20]; 14: [2, 16, 20]; 15: [3, 9, 13]; 16: [4, 9, 14]; 17: [3, 10, 12]; 18: [1, 4, 10, 11]; 19: [2, 11, 12]; 20: [2, 8, 13, 14]","{'adjacency_list': '1: 4,18; 2: 6,14,19,20; 3: 10,15,17; 4: 1,16,18; 5: 8,9,10; 6: 2,8,12; 7: 8,11,13; 8: 5,6,7,13,20; 9: 5,15,16; 10: 3,5,17,18; 11: 7,12,18,19; 12: 6,11,17,19; 13: 7,8,15,20; 14: 2,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 1,4,10,11; 19: 2,11,12; 20: 2,8,13,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.762,10.75054097175598,4727,723,5450
graph_104,FMMM,{},zero_shot,standard,"Adjacency list: 1: [8]; 2: [10]; 3: [9]; 4: [6]; 5: [7]; 6: [4, 9]; 7: [5, 10]; 8: [1, 9, 10]; 9: [3, 6, 8]; 10: [2, 7, 8]","{'adjacency_list': '1: 8; 2: 10; 3: 9; 4: 6; 5: 7; 6: 4,9; 7: 5,10; 8: 1,9,10; 9: 3,6,8; 10: 2,7,8'}","{'adjacency_list': '1: 8; 2: 10; 3: 9; 4: 6; 5: 7; 6: 4,9; 7: 5,10; 8: 1,9,10; 9: 3,6,8; 10: 2,7,8'}",1.0,3.985560894012451,1506,92,1598
graph_104,FMMM,{},zero_shot,cot,"I'll analyze this graph step by step to create the complete adjacency list.

Step 1: Identifying all nodes in the graph
I can see 10 nodes in the graph with labels: 1, 2, 3, 4, 5, 6, 7, 8, 9, and 10.

Step 2: Examining connections for each node
Let me go through each node and identify its connections:

Node 1: Connected to node 8 by a straight line
Node 2: Connected to node 10 by a straight line
Node 3: Connected to node 9 by a straight line
Node 4: Connected to node 6 by a straight line
Node 5: Connected to node 7 by a straight line
Node 6: Connected to nodes 4 and 9
Node 7: Connected to nodes 5 and 10
Node 8: Connected to nodes 1, 9, and 10
Node 9: Connected to nodes 3, 6, and 8
Node 10: Connected to nodes 2, 7, and 8

Step 3: Organizing connections in ascending order
For each node, I'll list its neighbors in ascending numerical order:
Node 1: [8]
Node 2: [10]
Node 3: [9]
Node 4: [6]
Node 5: [7]
Node 6: [4, 9]
Node 7: [5, 10]
Node 8: [1, 9, 10]
Node 9: [3, 6, 8]
Node 10: [2, 7, 8]

Step 4: Verifying consistency
- All 10 nodes are included in the list
- All visible connections are represented
- The adjacency list is symmetric:
  * 1 lists 8, and 8 lists 1
  * 2 lists 10, and 10 lists 2
  * 3 lists 9, and 9 lists 3
  * 4 lists 6, and 6 lists 4
  * 5 lists 7, and 7 lists 5
  * 6 lists 9, and 9 lists 6
  * 7 lists 10, and 10 lists 7
  * 8 lists 10, and 10 lists 8
  * 8 lists 9, and 9 lists 8

Adjacency list: 1: [8]; 2: [10]; 3: [9]; 4: [6]; 5: [7]; 6: [4, 9]; 7: [5, 10]; 8: [1, 9, 10]; 9: [3, 6, 8]; 10: [2, 7, 8]","{'adjacency_list': '1: 8; 2: 10; 3: 9; 4: 6; 5: 7; 6: 4,9; 7: 5,10; 8: 1,9,10; 9: 3,6,8; 10: 2,7,8'}","{'adjacency_list': '1: 8; 2: 10; 3: 9; 4: 6; 5: 7; 6: 4,9; 7: 5,10; 8: 1,9,10; 9: 3,6,8; 10: 2,7,8'}",1.0,9.56728482246399,1564,663,2227
