graph,layout,parameters,prompt_type,reasoning_type,response,parsed_response,ground_truth,accuracy,latency,input_tokens,output_tokens,total_tokens
graph_1004,FMMM,{},zero_shot,standard,"Adjacency list: 1: [2, 3, 4]; 2: [1, 4, 19, 20]; 3: [1, 4, 17]; 4: [1, 2, 3, 15, 19]; 5: [9, 10]; 6: [7, 11, 12, 13]; 7: [6, 8, 13]; 8: [7, 9, 13]; 9: [5, 8, 10, 11, 12]; 10: [5, 9, 17]; 11: [6, 9, 12, 16]; 12: [6, 9, 11, 15, 18]; 13: [6, 7, 8, 14, 16, 20]; 14: [13, 16]; 15: [4, 12, 16, 19]; 16: [11, 13, 14, 15, 19, 20]; 17: [3, 10, 18]; 18: [12, 17]; 19: [2, 4, 15, 16]; 20: [2, 13, 16].","{'adjacency_list': '1: 2,3,4; 2: 1,4,19,20; 3: 1,4,17; 4: 1,2,3,15,19; 5: 9,10; 6: 7,11,12,13; 7: 6,8,13; 8: 7,9,13; 9: 5,8,10,11,12; 10: 5,9,17; 11: 6,9,12,16; 12: 6,9,11,15,18; 13: 6,7,8,14,16,20; 14: 13,16; 15: 4,12,16,19; 16: 11,13,14,15,19,20; 17: 3,10,18; 18: 12,17; 19: 2,4,15,16; 20: 2,13,16'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.327,5.502368927001953,996,287,1283
graph_1004,FMMM,{},zero_shot,cot,"To create the adjacency list, let's follow the steps:

1. **Identify and enumerate all nodes**: The nodes are labeled from 1 to 20.

2. **Examine connections for each node**:

   - **Node 1**: Connected to 2, 3, 4, 19
   - **Node 2**: Connected to 1, 19, 20
   - **Node 3**: Connected to 1, 4, 17
   - **Node 4**: Connected to 1, 3, 15, 19
   - **Node 5**: Connected to 9, 10
   - **Node 6**: Connected to 7, 11, 13
   - **Node 7**: Connected to 6, 8, 13
   - **Node 8**: Connected to 7, 9, 13
   - **Node 9**: Connected to 5, 8, 11, 12
   - **Node 10**: Connected to 5, 17
   - **Node 11**: Connected to 6, 9, 12, 16
   - **Node 12**: Connected to 9, 11, 15, 18
   - **Node 13**: Connected to 6, 7, 8, 14, 16
   - **Node 14**: Connected to 13, 16
   - **Node 15**: Connected to 4, 12, 16, 18, 19
   - **Node 16**: Connected to 11, 13, 14, 15, 20
   - **Node 17**: Connected to 3, 10, 18
   - **Node 18**: Connected to 12, 15, 17
   - **Node 19**: Connected to 1, 2, 4, 15
   - **Node 20**: Connected to 2, 16

3. **Organize connections in ascending order**:

4. **Verify consistency**: Ensure each connection is bidirectional.

Final adjacency list:

Adjacency list: 
1: [2, 3, 4, 19]; 
2: [1, 19, 20]; 
3: [1, 4, 17]; 
4: [1, 3, 15, 19]; 
5: [9, 10]; 
6: [7, 11, 13]; 
7: [6, 8, 13]; 
8: [7, 9, 13]; 
9: [5, 8, 11, 12]; 
10: [5, 17]; 
11: [6, 9, 12, 16]; 
12: [9, 11, 15, 18]; 
13: [6, 7, 8, 14, 16]; 
14: [13, 16]; 
15: [4, 12, 16, 18, 19]; 
16: [11, 13, 14, 15, 20]; 
17: [3, 10, 18]; 
18: [12, 15, 17]; 
19: [1, 2, 4, 15]; 
20: [2, 16].","{'adjacency_list': '1: 2,3,4,19; 2: 1,19,20; 3: 1,4,17; 4: 1,3,15,19; 5: 9,10; 6: 7,11,13; 7: 6,8,13; 8: 7,9,13; 9: 5,8,11,12; 10: 5,17; 11: 6,9,12,16; 12: 9,11,15,18; 13: 6,7,8,14,16; 14: 13,16; 15: 4,12,16,18,19; 16: 11,13,14,15,20; 17: 3,10,18; 18: 12,15,17; 19: 1,2,4,15; 20: 2,16'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.303,8.473295211791992,1049,745,1794
graph_1004,FMMM,{},few_shots,standard,"Adjacency list: 1: 2,3,4,19; 2: 1,19,20; 3: 1,4,17; 4: 1,3,15; 5: 8,9,10; 6: 7,9,11,12,16; 7: 6,8,13; 8: 5,7,9; 9: 5,6,8,11; 10: 5,17; 11: 6,9,12; 12: 6,11,15,18; 13: 7,14,16; 14: 13,16; 15: 4,12,16,19; 16: 6,13,14,15; 17: 3,10,18; 18: 12,17; 19: 1,2,15; 20: 2","{'adjacency_list': '1: 2,3,4,19; 2: 1,19,20; 3: 1,4,17; 4: 1,3,15; 5: 8,9,10; 6: 7,9,11,12,16; 7: 6,8,13; 8: 5,7,9; 9: 5,6,8,11; 10: 5,17; 11: 6,9,12; 12: 6,11,15,18; 13: 7,14,16; 14: 13,16; 15: 4,12,16,19; 16: 6,13,14,15; 17: 3,10,18; 18: 12,17; 19: 1,2,15; 20: 2'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.362,9.004919052124023,2984,208,3192
graph_1004,FMMM,{},few_shots,cot,"To create the adjacency list, I'll follow the steps outlined:

1. **Identify and enumerate all nodes**: The nodes are numbered from 1 to 20.

2. **Examine connections for each node**:

   - **Node 1**: Connected to 2, 3, 4, 19
   - **Node 2**: Connected to 1, 19, 20
   - **Node 3**: Connected to 1, 4, 17
   - **Node 4**: Connected to 1, 3, 15, 19
   - **Node 5**: Connected to 9, 10
   - **Node 6**: Connected to 7, 9, 11, 13, 16
   - **Node 7**: Connected to 6, 8, 9
   - **Node 8**: Connected to 7, 9
   - **Node 9**: Connected to 5, 6, 7, 8, 11, 12
   - **Node 10**: Connected to 5, 17
   - **Node 11**: Connected to 6, 9, 12
   - **Node 12**: Connected to 9, 11, 15, 18
   - **Node 13**: Connected to 6, 14, 16
   - **Node 14**: Connected to 13, 16
   - **Node 15**: Connected to 4, 12, 16, 19
   - **Node 16**: Connected to 6, 13, 14, 15
   - **Node 17**: Connected to 3, 10, 18
   - **Node 18**: Connected to 12, 17
   - **Node 19**: Connected to 1, 2, 4, 15
   - **Node 20**: Connected to 2

3. **Organize connections in ascending order**.

4. **Verify consistency**: Ensure each connection is reciprocal.

Final adjacency list:

Adjacency list: 
1: 2,3,4,19; 
2: 1,19,20; 
3: 1,4,17; 
4: 1,3,15,19; 
5: 9,10; 
6: 7,9,11,13,16; 
7: 6,8,9; 
8: 7,9; 
9: 5,6,7,8,11,12; 
10: 5,17; 
11: 6,9,12; 
12: 9,11,15,18; 
13: 6,14,16; 
14: 13,16; 
15: 4,12,16,19; 
16: 6,13,14,15; 
17: 3,10,18; 
18: 12,17; 
19: 1,2,4,15; 
20: 2","{'adjacency_list': '1: 2,3,4,19; 2: 1,19,20; 3: 1,4,17; 4: 1,3,15,19; 5: 9,10; 6: 7,9,11,13,16; 7: 6,8,9; 8: 7,9; 9: 5,6,7,8,11,12; 10: 5,17; 11: 6,9,12; 12: 9,11,15,18; 13: 6,14,16; 14: 13,16; 15: 4,12,16,19; 16: 6,13,14,15; 17: 3,10,18; 18: 12,17; 19: 1,2,4,15; 20: 2'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.287,10.340703010559082,3216,676,3892
graph_1004,ORTHO,{},zero_shot,standard,"Adjacency list: 1: [4]; 2: [6, 19, 20]; 3: [5, 13, 15, 17]; 4: [1, 16]; 5: [3, 9]; 6: [2, 8, 12]; 7: [8, 11, 13]; 8: [6, 7, 20]; 9: [5, 16]; 10: [17, 18]; 11: [7, 19]; 12: [6, 19]; 13: [3, 7]; 14: [20]; 15: [3]; 16: [4, 9]; 17: [3, 10]; 18: [10]; 19: [2, 11, 12]; 20: [2, 8, 14]","{'adjacency_list': '1: 4; 2: 6,19,20; 3: 5,13,15,17; 4: 1,16; 5: 3,9; 6: 2,8,12; 7: 8,11,13; 8: 6,7,20; 9: 5,16; 10: 17,18; 11: 7,19; 12: 6,19; 13: 3,7; 14: 20; 15: 3; 16: 4,9; 17: 3,10; 18: 10; 19: 2,11,12; 20: 2,8,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.545,3.375370979309082,996,197,1193
graph_1004,ORTHO,{},zero_shot,cot,"To create the adjacency list, let's follow the steps:

1. **Identify and enumerate all nodes**: The nodes are labeled from 1 to 20.

2. **Examine connections for each node**:

   - **Node 1**: Connected to 4.
   - **Node 2**: Connected to 6, 19, 20.
   - **Node 3**: Connected to 5, 13, 17.
   - **Node 4**: Connected to 1, 16.
   - **Node 5**: Connected to 3, 9.
   - **Node 6**: Connected to 2, 8.
   - **Node 7**: Connected to 8, 11, 13.
   - **Node 8**: Connected to 6, 7, 20.
   - **Node 9**: Connected to 5, 16.
   - **Node 10**: Connected to 18.
   - **Node 11**: Connected to 7, 12.
   - **Node 12**: Connected to 11, 19.
   - **Node 13**: Connected to 3, 7, 15.
   - **Node 14**: Connected to 20.
   - **Node 15**: Connected to 13.
   - **Node 16**: Connected to 4, 9.
   - **Node 17**: Connected to 3.
   - **Node 18**: Connected to 10.
   - **Node 19**: Connected to 2, 12.
   - **Node 20**: Connected to 2, 8, 14.

3. **Organize connections in ascending order**.

4. **Verify consistency**: Ensure all connections are symmetric.

Final adjacency list:

Adjacency list: 1: [4]; 2: [6, 19, 20]; 3: [5, 13, 17]; 4: [1, 16]; 5: [3, 9]; 6: [2, 8]; 7: [8, 11, 13]; 8: [6, 7, 20]; 9: [5, 16]; 10: [18]; 11: [7, 12]; 12: [11, 19]; 13: [3, 7, 15]; 14: [20]; 15: [13]; 16: [4, 9]; 17: [3]; 18: [10]; 19: [2, 12]; 20: [2, 8, 14].","{'adjacency_list': '1: 4; 2: 6,19,20; 3: 5,13,17; 4: 1,16; 5: 3,9; 6: 2,8; 7: 8,11,13; 8: 6,7,20; 9: 5,16; 10: 18; 11: 7,12; 12: 11,19; 13: 3,7,15; 14: 20; 15: 13; 16: 4,9; 17: 3; 18: 10; 19: 2,12; 20: 2,8,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.443,7.368360996246338,1049,576,1625
graph_1004,ORTHO,{},few_shots,standard,"Adjacency list: 1: 4,16; 2: 6,8,19; 3: 7,9,13,15; 4: 1,16; 5: 8,9,20; 6: 2,8; 7: 3,11,13; 8: 2,5,6,20; 9: 3,5,16; 10: 17,18; 11: 7,19; 12: 19; 13: 3,7,15; 14: 20; 15: 3,13; 16: 1,4,9; 17: 10; 18: 10; 19: 2,11,12; 20: 5,8,14;","{'adjacency_list': '1: 4,16; 2: 6,8,19; 3: 7,9,13,15; 4: 1,16; 5: 8,9,20; 6: 2,8; 7: 3,11,13; 8: 2,5,6,20; 9: 3,5,16; 10: 17,18; 11: 7,19; 12: 19; 13: 3,7,15; 14: 20; 15: 3,13; 16: 1,4,9; 17: 10; 18: 10; 19: 2,11,12; 20: 5,8,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.448,6.553977727890015,2984,181,3165
graph_1004,ORTHO,{},few_shots,cot,"To create the adjacency list, I'll follow the steps outlined:

1. **Identify and enumerate all nodes**: The nodes are numbered from 1 to 20.

2. **Examine connections for each node**:

   - **Node 1**: Connected to 4.
   - **Node 2**: Connected to 6, 19, 20.
   - **Node 3**: Connected to 5, 13, 15, 17.
   - **Node 4**: Connected to 1, 16.
   - **Node 5**: Connected to 3, 9.
   - **Node 6**: Connected to 2, 8.
   - **Node 7**: Connected to 11, 13.
   - **Node 8**: Connected to 6, 9, 20.
   - **Node 9**: Connected to 5, 8, 16.
   - **Node 10**: Connected to 17, 18.
   - **Node 11**: Connected to 7, 19.
   - **Node 12**: Connected to 19.
   - **Node 13**: Connected to 3, 7, 15.
   - **Node 14**: Connected to 20.
   - **Node 15**: Connected to 3, 13.
   - **Node 16**: Connected to 4, 9.
   - **Node 17**: Connected to 3, 10.
   - **Node 18**: Connected to 10.
   - **Node 19**: Connected to 2, 11, 12.
   - **Node 20**: Connected to 2, 8, 14.

3. **Organize connections in ascending order**.

4. **Verify consistency**: Ensure each connection is reciprocal.

Final adjacency list:

Adjacency list: 1: 4; 2: 6,19,20; 3: 5,13,15,17; 4: 1,16; 5: 3,9; 6: 2,8; 7: 11,13; 8: 6,9,20; 9: 5,8,16; 10: 17,18; 11: 7,19; 12: 19; 13: 3,7,15; 14: 20; 15: 3,13; 16: 4,9; 17: 3,10; 18: 10; 19: 2,11,12; 20: 2,8,14.","{'adjacency_list': '1: 4; 2: 6,19,20; 3: 5,13,15,17; 4: 1,16; 5: 3,9; 6: 2,8; 7: 11,13; 8: 6,9,20; 9: 5,8,16; 10: 17,18; 11: 7,19; 12: 19; 13: 3,7,15; 14: 20; 15: 3,13; 16: 4,9; 17: 3,10; 18: 10; 19: 2,11,12; 20: 2,8,14'}","{'adjacency_list': '1: 2,3,4; 2: 1,19,20; 3: 1,15,17; 4: 1,16,18; 5: 8,9,10; 6: 8,12,14; 7: 8,11,13; 8: 5,6,7; 9: 5,15,16; 10: 5,17,18; 11: 7,18,19; 12: 6,17,19; 13: 7,15,20; 14: 6,16,20; 15: 3,9,13; 16: 4,9,14; 17: 3,10,12; 18: 4,10,11; 19: 2,11,12; 20: 2,13,14'}",0.505,10.034671783447266,3216,577,3793
graph_104,FMMM,{},zero_shot,standard,"Adjacency list: 1: [8]; 2: [10]; 3: [9]; 4: [6]; 5: [7]; 6: [4, 9]; 7: [5, 10]; 8: [1, 9, 10]; 9: [3, 6, 8]; 10: [2, 7, 8];","{'adjacency_list': '1: 8; 2: 10; 3: 9; 4: 6; 5: 7; 6: 4,9; 7: 5,10; 8: 1,9,10; 9: 3,6,8; 10: 2,7,8'}","{'adjacency_list': '1: 8; 2: 10; 3: 9; 4: 6; 5: 7; 6: 4,9; 7: 5,10; 8: 1,9,10; 9: 3,6,8; 10: 2,7,8'}",1.0,2.959451198577881,996,89,1085
graph_104,FMMM,{},zero_shot,cot,"To create the adjacency list, let's follow the steps:

1. **Identify and enumerate all nodes**: The nodes present are 1, 2, 3, 4, 5, 6, 7, 8, 9, and 10.

2. **Examine connections for each node**:
   - Node 1 is connected to: 8
   - Node 2 is connected to: 10
   - Node 3 is connected to: 9
   - Node 4 is connected to: 6
   - Node 5 is connected to: 7
   - Node 6 is connected to: 4, 9
   - Node 7 is connected to: 5, 10
   - Node 8 is connected to: 1, 9, 10
   - Node 9 is connected to: 3, 6, 8
   - Node 10 is connected to: 2, 7, 8

3. **Organize connections in ascending order**:
   - Node 1: [8]
   - Node 2: [10]
   - Node 3: [9]
   - Node 4: [6]
   - Node 5: [7]
   - Node 6: [4, 9]
   - Node 7: [5, 10]
   - Node 8: [1, 9, 10]
   - Node 9: [3, 6, 8]
   - Node 10: [2, 7, 8]

4. **Verify consistency**:
   - Ensure every node is included.
   - Ensure every connection is represented symmetrically.

Final adjacency list:

Adjacency list: 1: [8]; 2: [10]; 3: [9]; 4: [6]; 5: [7]; 6: [4, 9]; 7: [5, 10]; 8: [1, 9, 10]; 9: [3, 6, 8]; 10: [2, 7, 8];","{'adjacency_list': '1: 8; 2: 10; 3: 9; 4: 6; 5: 7; 6: 4,9; 7: 5,10; 8: 1,9,10; 9: 3,6,8; 10: 2,7,8'}","{'adjacency_list': '1: 8; 2: 10; 3: 9; 4: 6; 5: 7; 6: 4,9; 7: 5,10; 8: 1,9,10; 9: 3,6,8; 10: 2,7,8'}",1.0,6.97316312789917,1049,455,1504
